duration_ms,explicit,name,Performer,genre,popularity,uri,weeks_on_chart,release_year
163870,FALSE,Meant to Be (feat. Florida Georgia Line),Bebe Rexha & Florida Georgia Line,Country,76,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,51,2017
229360,FALSE,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Regaeton,81,spotify:track:6habFhsOp2NvshLv26DqMb,51,2017
242373,FALSE,Viva La Vida,Coldplay,Pop,87,spotify:track:1mea3bSkSGXuIRvnydlB5b,51,2008
242373,FALSE,Watch Me,Silento,Hip Hop,87,spotify:track:1mea3bSkSGXuIRvnydlB5b,51,2015
139741,TRUE,WHATS POPPIN,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Hip Hop,78,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,51,2020
187146,FALSE,Thunder,Imagine Dragons,Rock,86,spotify:track:1zB4vmk8tFRmM9UULNzbLB,51,2017
204346,FALSE,Believer,Imagine Dragons,Rock,89,spotify:track:0pqnGHJpmpxLKifKRmU6WP,51,2017
206693,FALSE,That's What I Like,Bruno Mars,Pop,85,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,51,2017
253390,TRUE,I Like It,"Cardi B, Bad Bunny & J Balvin",Hip Hop,80,spotify:track:58q2HKrzhC3ozto2nDdN4z,51,2018
214106,FALSE,What Hurts The Most,Rascal Flatts,Country,71,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4,51,2003
231133,FALSE,You Belong With Me,Taylor Swift,Pop,71,spotify:track:3GCL1PydwsLodcpv0Ll1ch,50,2009
193400,FALSE,Call Me Maybe,Carly Rae Jepsen,Pop,74,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,50,2011
207466,FALSE,Congratulations,Post Malone Featuring Quavo,Pop,72,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ,50,2017
207466,FALSE,Someday,Nickelback,Rock,72,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ,50,2003
196746,FALSE,Tequila,Dan + Shay,Country,72,spotify:track:42fw0rxRO2xbesF6mJfd4Y,50,2018
219200,FALSE,Shake It Off,Taylor Swift,Pop,75,spotify:track:5xTtaWoae3wi06K5WfVUUH,50,2014
207133,FALSE,Adore You,Harry Styles,Pop,86,spotify:track:3jjujdWJ72nww5eGnfs2E7,50,2019
208106,FALSE,Paralyzer,Finger Eleven,Alternative,76,spotify:track:28IEbk5a7twNTbUEvWslUb,50,2007
201160,FALSE,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5 Featuring Christina Aguilera,Pop,73,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,49,2011
214106,FALSE,What Hurts The Most,Rascal Flatts,Alternative,71,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4,49,2003
223840,FALSE,How You Remind Me,Nickelback,Rock,81,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,49,2001
194087,FALSE,bad guy,Billie Eilish,Pop,85,spotify:track:2Fxmhks0bxGSBdJ92vM42m,49,2019
235266,FALSE,Love Story,Taylor Swift,Pop,70,spotify:track:1vrd6UOGamcKNGnSHJQlSt,49,2008
235613,TRUE,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis Featuring Wanz,Hip Hop,79,spotify:track:6CjtS2JZH9RkDz5UVInsa9,49,2012
241933,FALSE,Just Dance,Lady Gaga Featuring Colby O'Donis,Pop,78,spotify:track:2x7MyWybabEz6Y6wvHuwGE,49,2008
