Explicit,Artist_Popularity,Performer,Song,Duration s,uri,url,WeekID,Week Position,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Year
False,25.0,Morris Day,The Oak Tree,442.466,spotify:track:3M51z9DUFbxkvOHIFz9gsM,http://www.billboard.com/charts/hot-100/1985-09-28,1985-09-28,84,The Oak TreeMorris Day,1,,84,1,1985
False,17.0,Tommy Shaw,Remo's Theme (What If),262.6,spotify:track:39VSnBKOP7zHeJS1cWXh3j,http://www.billboard.com/charts/hot-100/1985-10-05,1985-10-05,90,Remo's Theme (What If)Tommy Shaw,1,,90,1,1985
False,30.0,Billy Joel,The Night Is Still Young,326.306,spotify:track:0G1UfvnMvLyypameCwVWYi,http://www.billboard.com/charts/hot-100/1985-10-05,1985-10-05,65,The Night Is Still YoungBilly Joel,1,,65,1,1985
False,19.0,Olivia Newton-John,Soul Kiss,270.866,spotify:track:7GIRz8qmlb2H9aB3r6oslV,http://www.billboard.com/charts/hot-100/1985-10-05,1985-10-05,63,Soul KissOlivia Newton-John,1,,63,1,1985
False,20.0,Laura Branigan,Hold Me,286.76,spotify:track:3eT8rfOWOyU7hdaUyJ3LpA,http://www.billboard.com/charts/hot-100/1985-10-19,1985-10-19,84,Hold MeLaura Branigan,1,,84,1,1985
False,47.0,ZZ Top,Sleeping Bag,242.333,spotify:track:1ESuT2y9AKu1zMdxq47qW5,http://www.billboard.com/charts/hot-100/1985-10-19,1985-10-19,49,Sleeping BagZZ Top,1,,49,1,1985
False,7.0,John Waite,Welcome To Paradise,238.826,spotify:track:6pKeSbLxFR98kw6kraSulk,http://www.billboard.com/charts/hot-100/1985-10-19,1985-10-19,89,Welcome To ParadiseJohn Waite,1,,89,1,1985
False,48.0,KISS,Tears Are Falling,235.933,spotify:track:1hxt3chzYLAzS4NmSSi5A3,http://www.billboard.com/charts/hot-100/1985-10-19,1985-10-19,85,Tears Are FallingKISS,1,,85,1,1985
False,16.0,Sheena Easton,Do It For Love,305.666,spotify:track:18oqrmevZgiY87mBYjr0Wj,http://www.billboard.com/charts/hot-100/1985-10-26,1985-10-26,68,Do It For LoveSheena Easton,1,,68,1,1985
False,33.0,Kool & The Gang,Emergency,320.84,spotify:track:7qDG0cqLV83tNePOvda4Jm,http://www.billboard.com/charts/hot-100/1985-10-26,1985-10-26,77,EmergencyKool & The Gang,1,,77,1,1985
False,29.0,Elton John,Wrap Her Up,381.493,spotify:track:0sIiAyckK90a6KOKhIeGwM,http://www.billboard.com/charts/hot-100/1985-10-26,1985-10-26,53,Wrap Her UpElton John,1,,53,1,1985
False,45.0,Jack Wagner,Too Young,251.133,spotify:track:42W8NXxt46ZWahftrm4mYX,http://www.billboard.com/charts/hot-100/1985-10-26,1985-10-26,86,Too YoungJack Wagner,1,,86,1,1985
False,29.0,Artists United Against Apartheid,Sun City,432.413,spotify:track:5fIooQsVIVja8kP3ojyAV7,http://www.billboard.com/charts/hot-100/1985-11-02,1985-11-02,74,Sun CityArtists United Against Apartheid,1,,74,1,1985
False,39.0,New Edition,Count Me Out,340.493,spotify:track:0XpJaafBTohHGhhdrp83rJ,http://www.billboard.com/charts/hot-100/1985-11-02,1985-11-02,88,Count Me OutNew Edition,1,,88,1,1985
False,65.0,John Mellencamp,Small Town,221.626,spotify:track:2HsjJJL4DhPCzMlnaGv7ap,http://www.billboard.com/charts/hot-100/1985-11-02,1985-11-02,51,Small TownJohn Mellencamp,1,,51,1,1985
False,40.0,James Taylor,Everyday,193.96,spotify:track:4fqlTmlufMMWMBWxbLywKl,http://www.billboard.com/charts/hot-100/1985-11-09,1985-11-09,79,EverydayJames Taylor,1,,79,1,1985
False,41.0,Pete Townshend,Face The Face,354.32,spotify:track:2PFOLIT19EDg8J5GSVeVjT,http://www.billboard.com/charts/hot-100/1985-11-09,1985-11-09,87,Face The FacePete Townshend,1,,87,1,1985
False,42.0,Rush,The Big Money,334.493,spotify:track:4f6CJbnASHEtQspSwqoYlr,http://www.billboard.com/charts/hot-100/1985-11-09,1985-11-09,93,The Big MoneyRush,1,,93,1,1985
False,48.0,Sting,Love Is The Seventh Wave,212.4,spotify:track:2tnlTf2pIIYlQtUAo5AbNE,http://www.billboard.com/charts/hot-100/1985-11-09,1985-11-09,61,Love Is The Seventh WaveSting,1,,61,1,1985
False,48.0,Night Ranger,Goodbye,259.373,spotify:track:50vyUOJM5ncJ6Y5YWZzXvX,http://www.billboard.com/charts/hot-100/1985-11-09,1985-11-09,80,GoodbyeNight Ranger,1,,80,1,1985
False,24.0,Loverboy,Dangerous,213.573,spotify:track:2FtUxAQzfkZF1b7HwYNzZq,http://www.billboard.com/charts/hot-100/1985-11-16,1985-11-16,86,DangerousLoverboy,1,,86,1,1985
False,45.0,Sheila E.,A Love Bizarre,738.053,spotify:track:5R6ol4f8WCUCWNrB7Ymf99,http://www.billboard.com/charts/hot-100/1985-11-16,1985-11-16,84,A Love BizarreSheila E.,1,,84,1,1985
