0,1,2,3,4
Andrea Martin,41.0,Andrea Martin,spotify:artist:4CfTFp39LgcvLWn9YQBIbZ,[]
Youngstown,20.0,Youngstown,spotify:artist:0icdU2PQXnZ5Fo1EGkb6BU,['boy band']
,,,,
Anastacia,61.0,Anastacia,spotify:artist:2siHvYaxjaW5rKVRiIrMYH,['dance pop']
,,,,
,,,,
Willa Ford,36.0,Willa Ford,spotify:artist:0kuEP1E9k3WBEwMKwEmp9u,['post-teen pop']
TRUSTcompany,50.0,TRUSTcompany,spotify:artist:21ALJSG7U07dShegeJQ2xA,"['alabama metal', 'alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
,,,,
,,,,
Kirk Franklin,64.0,Kirk Franklin,spotify:artist:4akybxRTGHJZ1DXjLhJ1qu,"['gospel', 'gospel r&b']"
,,,,
,,,,
,,,,
V.I.C.,49.0,V.I.C.,spotify:artist:49mHZzhcsoQB1JXWv8Q9gU,"['atl hip hop', 'futuristic swag', 'pop rap', 'southern hip hop']"
,,,,
,,,,
,,,,
,,,,
,,,,
Chrisette Michele,57.0,Chrisette Michele,spotify:artist:3YJMzGjAm245zwJooY7PEj,"['contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
Dorrough,51.0,Dorrough Music,spotify:artist:5MAp6rMiUJjRLXMWtArXRS,"['dfw rap', 'dirty south rap', 'gangster rap', 'pop rap', 'southern hip hop', 'trap']"
Eddie Vedder,64.0,Eddie Vedder,spotify:artist:0mXTJETA4XUa12MmmXxZJh,"['acoustic rock', 'permanent wave', 'rock']"
,,,,
Alexandra Stan,62.0,Alexandra Stan,spotify:artist:0BmLNz4nSLfoWYW1cYsElL,"['dance pop', 'electropop', 'romanian pop']"
Dev,59.0,Devin Dawson,spotify:artist:2ySHS7UojGu20XfUPaBlyu,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
Of Monsters And Men,69.0,Of Monsters and Men,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Barrett Baber,22.0,Barrett Baber,spotify:artist:0lmKvjsV6xcpES9x96iqpf,['arkansas country']
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Bebe Rexha,85.0,Bebe Rexha,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'edm', 'pop', 'post-teen pop']"
,,,,
,,,,
,,,,
Breland,62.0,BRELAND,spotify:artist:0C86lmpnwiyLDUiyo4d0P1,"['black americana', 'contemporary country', 'country']"
,,,,
,,,,
The Mickey Mozart Quintet,0.0,The Mickey Mozart Quintet,spotify:artist:34KsVYiasUf7YuZBqe23j6,[]
,,,,
The Five Satins,44.0,The Five Satins,spotify:artist:2YP02JRa1JLejrg3XTssJS,"['doo-wop', 'rhythm and blues']"
Jon Thomas and Orchestra,11.0,Thomas Hewitt Jones & The Chamber Orchestra of London,spotify:artist:3GAU3FwcDVguErdVmBNN6A,[]
Valadiers,7.0,The Valadiers,spotify:artist:7FJuJVKIVnGjlTQWksXwX7,['deep motown']
Jerry Reed And The Hully Girlies,1.0,Jerry Reed & The Hully Girlies,spotify:artist:1WHQlzc43xMfeZ9uS3mZHZ,[]
The Ran-Dells,8.0,The Ran Dells,spotify:artist:2qsSi2PBkOJDkacR6UAZSF,['novelty']
,,,,
Patty & The Emblems,20.0,Patty & The Emblems,spotify:artist:3YNciz35JttEP3tpD392Up,['philly soul']
The Sapphires,31.0,The Sapphires,spotify:artist:7hsuVq0DQonl3PnP7qkfvP,"['brill building pop', 'classic soul', 'northern soul', 'philly soul', 'souldies']"
The Spellbinders,8.0,The Spellbinders,spotify:artist:2Wzja2jxZnsEa22GH7VzZA,['deep northern soul']
The Magic Mushrooms,0.0,The Magic Mushrooms,spotify:artist:5D9K6IdxliBuErytwSNu5K,[]
Troy Keyes,1.0,Troy Keyes,spotify:artist:4amyFeBFFIbbe6yq3ODoYC,['deep northern soul']
Tommy Leonetti,1.0,Tommy Leonetti,spotify:artist:2H4um84OGttZn086WCpCiz,[]
The Neon Philharmonic,18.0,The Neon Philharmonic,spotify:artist:3K1Z59H3m2F4AhWvKMzqBR,['sunshine pop']
Ola & The Janglers,25.0,Ola & The Janglers,spotify:artist:5THiACaeWaj4ZDVt7Cd5nl,"['swedish garage rock', 'swedish rock-and-roll']"
,,,,
Robin McNamara,7.0,Robin McNamara,spotify:artist:5OKNo1RB42IASDuQQ6Fkeo,['bubblegum pop']
Chee-Chee & Peppy,1.0,Chee Chee and Peppy,spotify:artist:0XJfSAVSUnOIO4Ld0niFcT,[]
New Riders Of The Purple Sage,38.0,New Riders of the Purple Sage,spotify:artist:2D3v3HJ9k3UzehaewnT3QA,"['blues rock', 'cosmic american', 'country rock', 'folk rock', 'jam band', 'psychedelic rock', 'roots rock', 'singer-songwriter', 'southern rock']"
The Courtship,1.0,The Courtship,spotify:artist:7GhYK4l8CkV1ajA9wSwsjN,['motown']
Billy Lee Riley,37.0,Billy Lee Riley,spotify:artist:0a85EJEd3a9RGM9ops09rZ,"['arkansas country', 'rock-and-roll', 'rockabilly']"
Delbert & Glen,29.0,Delbert McClinton & Glen Clark,spotify:artist:4rAc4hXRPeNLL0woZwFRRK,[]
The South Side Movement,18.0,The South Side Movement,spotify:artist:0tFwoPbPo2weOozdTokWJO,[]
Today's People,1.0,Todays People,spotify:artist:0JSBFWEfbK74VqECbFKFRz,[]
Sweet Dreams,32.0,Sweet Dreams,spotify:artist:3Jearc7tsqU6Zw3GjEHDYJ,[]
Brother To Brother,54.0,2 Brothers On The 4th Floor,spotify:artist:5wsBGjgRsASMggXLPF7pYm,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
Boomer Castleman,0.0,Boomer Castleman,spotify:artist:6OWJUkbVBIGIQ8kLeosqCl,[]
New Birth,35.0,The New Birth,spotify:artist:34Bm9d5DAJjSnaI02BCjdA,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
John Handy,25.0,John Handy,spotify:artist:3Hl3dCaBcrnvBAOMAW4nJR,"['jazz saxophone', 'rare groove']"
Gallagher And Lyle,29.0,Gallagher And Lyle,spotify:artist:2Kq6loh0WNVAGEHlDxxprf,['classic uk pop']
Steve Sperry,11.0,Steve Sperry,spotify:artist:5YIc0yYttAqxKAlJTPGG4Q,[]
T.M.G.,6.0,T.M.G Spook,spotify:artist:4hcvkykYZS9B8dJ1KZVJIO,[]
Nature's Divine,7.0,Divine Winds Nature Music,spotify:artist:6bCQJfFB0uz3ovmMwhsKHn,[]
Dana Valery,17.0,Dana Valery,spotify:artist:3yck88MVltjEcA4CAO4dra,['northern soul']
,,,,
Robin George,0.0,George Robinson,spotify:artist:4Wp7PTjMXNQ9lP7dNmqKZo,[]
Device,41.0,Device,spotify:artist:0fpqZQia1PSW32o9tN5NKc,"['alternative metal', 'nu metal']"
Curiosity Killed The Cat,39.0,Curiosity Killed The Cat,spotify:artist:0ZGAYur5k4gJprOffC6LkP,"['new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
Martha Davis,16.0,Martha Davis,spotify:artist:2ioCVuqjcRCoQPhEYY0kmg,[]
Bardeux,21.0,Bardeux,spotify:artist:1Uhg7ePxFfwEY6HysrYjV7,['freestyle']
Kingdom Come,46.0,Kingdom Come,spotify:artist:2YFKPea38AMhGqGSqkFF1Q,"['album rock', 'german hard rock', 'glam metal', 'hard rock', 'metal']"
Holly Knight,6.0,Holly Knight,spotify:artist:1fgwMawRD6uZOERzG2SQto,[]
Love And Money,31.0,Love & Money,spotify:artist:0rWZGN2Zuv77euApjvZgkI,"['scottish new wave', 'sophisti-pop']"
The Replacements,53.0,The Replacements,spotify:artist:4WPY0N74T3KUja57xMQTZ3,"['alternative pop', 'alternative rock', 'anti-folk', 'indie rock', 'new wave', 'permanent wave', 'pop rock', 'post-punk', 'power pop', 'punk', 'roots rock', 'singer-songwriter']"
