	Performer	Artist_Popularity_x	Performer2	uri_x	Genre	Explicit	Artist_Popularity_y	Song	Duration s	uri_y	url	WeekID	Week Position	SongID	Instance	Previous Week Position	Peak Position	Weeks on Chart	Year
1504	The Impressions	51.0	The Impressions	spotify:artist:1b1N51wmSK0ckxFAMPSSHO	chicago soul	False	39.0	Gypsy Woman	140.093	spotify:track:5cTU26EVZ16QuceWBNwjZK	http://www.billboard.com/charts/hot-100/1961-10-14	1961-10-14	99	Gypsy WomanThe Impressions	1		99	1	1961
1522	The Cars	67.0	The Cars	spotify:artist:6DCIj8jNaNpBz8e5oKFPtp	album rock	False	71.0	Just What I Needed	225.626	spotify:track:4alHo6RGd0D3OUbTPExTHN	http://www.billboard.com/charts/hot-100/1978-06-17	1978-06-17	90	Just What I NeededThe Cars	1		90	1	1978
1532	Black Box	53.0	Black Box	spotify:artist:6tsRo8ErXzpHk3tQeH6GBW	diva house	False	58.0	Everybody Everybody	247.001	spotify:track:6wBMTv8yTiNh50fqTkT0JC	http://www.billboard.com/charts/hot-100/1990-08-04	1990-08-04	77	Everybody EverybodyBlack Box	1		77	1	1990
1535	The-Dream	67.0	The-Dream	spotify:artist:1W3FSF1BLpY3hlVIgvenLz	dance pop	True	60.0	Falsetto	271.173	spotify:track:2P1e3xpjDhYFqOFeu8IWzS	http://www.billboard.com/charts/hot-100/2008-01-26	2008-01-26	84	FalsettoThe-Dream	1		84	1	2008
1537	Jordin Sparks	64.0	Jordin Sparks	spotify:artist:2AQjGvtT0pFYfxR3neFcvz	dance pop	False	43.0	This Is My Now	230.626	spotify:track:6P5mjh3dfcYJ6JoDd4tdWI	http://www.billboard.com/charts/hot-100/2007-06-09	2007-06-09	15	This Is My NowJordin Sparks	1		15	1	2007
1541	The Undisputed Truth	41.0	The Undisputed Truth	spotify:artist:2tkwWmcZOQPNbbIdknfBsw	classic soul	False	55.0	Smiling Faces Sometimes	198.546	spotify:track:5Vdg4tP25ffeGEC5GGmCwm	http://www.billboard.com/charts/hot-100/1971-06-26	1971-06-26	80	Smiling Faces SometimesThe Undisputed Truth	1		80	1	1971
1545	Londonbeat	52.0	Londonbeat	spotify:artist:0gcMPgunYh4rX1UOdvZKBn	eurodance	False	20.0	A Better Love	240.4	spotify:track:1fALXFVWhnXVME9MNCQmt1	http://www.billboard.com/charts/hot-100/1991-05-11	1991-05-11	86	A Better LoveLondonbeat	1		86	1	1991
1547	Destiny's Child	73.0	Destiny's Child	spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i	dance pop	False	77.0	Say My Name	271.333	spotify:track:7H6ev70Weq6DdpZyyTmUXk	http://www.billboard.com/charts/hot-100/1999-12-25	1999-12-25	83	Say My NameDestiny's Child	1		83	1	1999
1553	Malo	89.0	Post Malone	spotify:artist:246dkjvS1zLTtiykXe5h60	dfw rap	False	50.0	Suavecito	395.2	spotify:track:5QoFWpXoaUyT44VmR98wLl	http://www.billboard.com/charts/hot-100/1972-03-04	1972-03-04	76	SuavecitoMalo	1		76	1	1972
1554	Shalamar	53.0	Shalamar	spotify:artist:3REpOYo13YkVj1dFzda12A	disco	False	50.0	The Second Time Around	223.293	spotify:track:6yh8yf1jpPrTMA5cezYpbi	http://www.billboard.com/charts/hot-100/1979-12-08	1979-12-08	96	The Second Time AroundShalamar	1		96	1	1979
1557	Will To Power	45.0	Will To Power	spotify:artist:63I04Kj1gXC1LLSVcrOzLN	freestyle	False	47.0	Dreamin'	249.96	spotify:track:4L5ag9C1m1gEAPs5KC3yuy	http://www.billboard.com/charts/hot-100/1987-06-27	1987-06-27	89	Dreamin'Will To Power	1		89	1	1987
1560	Paramore	80.0	Paramore	spotify:artist:74XFHRwlV6OrjEM0A2NCMF	candy pop	False	76.0	Misery Business	211.52	spotify:track:6SpLc7EXZIPpy0sVko0aoU	http://www.billboard.com/charts/hot-100/2007-07-21	2007-07-21	99	Misery BusinessParamore	1		99	1	2007
1568	Al Green	66.0	Al Green	spotify:artist:3dkbV4qihUeMsqN4vBGg93	classic soul	False	76.0	Let's Stay Together	199.396	spotify:track:63xdwScd1Ai1GigAwQxE8y	http://www.billboard.com/charts/hot-100/1971-12-04	1971-12-04	68	Let's Stay TogetherAl Green	1		68	1	1971
1575	Anita Baker	57.0	Anita Baker	spotify:artist:46CH1Gp8l8QVly8bpG9JFG	contemporary r&b	False	58.0	Sweet Love	262.266	spotify:track:4xVXe1VS5zlQyECVk6GRrL	http://www.billboard.com/charts/hot-100/1986-08-16	1986-08-16	74	Sweet LoveAnita Baker	1		74	1	1986
1577	Robbie Nevil	36.0	Robbie Nevil	spotify:artist:4NkLjsRsFnuPu9B4zqzBqq	new wave pop	False	33.0	Dominoes	286.2	spotify:track:6BkC46O15r8lWHasADnZ3F	http://www.billboard.com/charts/hot-100/1987-02-14	1987-02-14	90	DominoesRobbie Nevil	1		90	1	1987
1583	Jane Wiedlin	37.0	Jane Wiedlin	spotify:artist:3IXBujNySf3RBaGjDI8dqm	candy pop	False	45.0	Blue Kiss	208.066	spotify:track:1vkqIBgI8WDMrZrDLFUiLY	http://www.billboard.com/charts/hot-100/1985-09-28	1985-09-28	90	Blue KissJane Wiedlin	1		90	1	1985
1586	Phil McLean	0.0	Phil McLean	spotify:artist:6P4Its69HueLQKWuOZ2kp8		False	0.0	Small Sad Sam	144.16	spotify:track:4HT3clnfZI9RgY1Bmvu1Oa	http://www.billboard.com/charts/hot-100/1961-12-02	1961-12-02	86	Small Sad SamPhil McLean	1		86	1	1961
1587	Glenn Yarbrough	28.0	Glenn Yarbrough	spotify:artist:4GxVmha4ELBwUE4bPyChzS	american folk revival	False	9.0	It's Gonna Be Fine	131.76	spotify:track:3e0CoSLzOHHtjyYYmNUKaz	http://www.billboard.com/charts/hot-100/1965-07-17	1965-07-17	94	It's Gonna Be FineGlenn Yarbrough	1		94	1	1965
1588	Eagle-Eye Cherry	59.0	Eagle-Eye Cherry	spotify:artist:3ngKsDXZAssmljeXCvEgOe	pop rock	False	66.0	Save Tonight	239.226	spotify:track:1t2Hq2WIBcZINOEnK6mdJG	http://www.billboard.com/charts/hot-100/1998-12-05	1998-12-05	14	Save TonightEagle-Eye Cherry	1		14	1	1998
1589	The Danleers	31.0	The Danleers	spotify:artist:1W0oUYvRe6jjI2SuaiigFv	doo-wop	False	45.0	One Summer Night	133.226	spotify:track:5GEsOz5Pbln0j2RcmBGLa4	http://www.billboard.com/charts/hot-100/1958-08-02	1958-08-02	16	One Summer NightThe Danleers	1		16	1	1958
1590	Cardi B	82.0	Cardi B	spotify:artist:4kYSro6naA4h99UJvo89HB	dance pop	True	53.0	Bickenhead	181.623	spotify:track:17Yq72h0p15OhCbZ5lJ5gd	https://www.billboard.com/charts/hot-100/2018-04-21	2018-04-21	43	BickenheadCardi B	1		43	1	2018
1594	Lil Nas X	83.0	Lil Nas X	spotify:artist:7jVv8c5Fj3E9VhNjxT4snq	lgbtq+ hip hop	False	71.0	Panini	114.893	spotify:track:1000nHvUdawXuUHgBod4Wv	https://www.billboard.com/charts/hot-100/2019-07-06	2019-07-06	16	PaniniLil Nas X	1		16	1	2019
1595	Lil Baby	90.0	Lil Baby	spotify:artist:5f7VJjfbwm532GiveGC0ZK	atl hip hop	True	60.0	My Dawg	215.423	spotify:track:7CEJH5Ed7FBbXF6CqBQPlJ	https://www.billboard.com/charts/hot-100/2017-12-30	2017-12-30	77	My DawgLil Baby	1		77	1	2017
1611	Third Eye Blind	64.0	Third Eye Blind	spotify:artist:6TcnmlCSxihzWOQJ8k0rNS	alternative rock	False	74.0	Semi-Charmed Life	268.36	spotify:track:42et6fnHCw1HIPSrdPprMl	http://www.billboard.com/charts/hot-100/1997-07-05	1997-07-05	17	Semi-Charmed LifeThird Eye Blind	1		17	1	1997
1612	Danity Kane	48.0	Danity Kane	spotify:artist:3FD9VAd0ppjmKbfxF4LzUh	dance pop	False	57.0	Damaged	244.266	spotify:track:4yHFxB8kzzeuNvoouR8N0N	http://www.billboard.com/charts/hot-100/2008-03-29	2008-03-29	64	DamagedDanity Kane	1		64	1	2008
1613	Sarah McLachlan	64.0	Sarah McLachlan	spotify:artist:4NgNsOXSwIzXlUIJcpnNUp	canadian pop	False	45.0	Possession	279.466	spotify:track:0oPZm6DNVj4rv5uGOw2w7q	http://www.billboard.com/charts/hot-100/1994-05-07	1994-05-07	97	PossessionSarah McLachlan	1		97	1	1994
1618	Paris Hilton	55.0	Paris Hilton	spotify:artist:1vkJFCwstOoJO7yQ4lTtLK	dance pop	False	64.0	Stars Are Blind	236.6	spotify:track:71V89tJj9CboDyzncO6ZN2	http://www.billboard.com/charts/hot-100/2006-07-08	2006-07-08	18	Stars Are BlindParis Hilton	1		18	1	2006
1619	Luke Bryan	76.0	Luke Bryan	spotify:artist:0BvkDsjIUla7X0k6CSWh1I	contemporary country	False	59.0	All My Friends Say	242.8	spotify:track:539dFCMA8lfEElDPgGpcIB	http://www.billboard.com/charts/hot-100/2007-08-18	2007-08-18	90	All My Friends SayLuke Bryan	1		90	1	2007
1637	Dave Matthews Band	64.0	Dave Matthews Band	spotify:artist:2TI7qyDE0QfyOlnbtfDo7L	jam band	False	52.0	Crush	489.333	spotify:track:6AKSrodq9kU9hmTLEeWFFr	http://www.billboard.com/charts/hot-100/1999-02-13	1999-02-13	85	CrushDave Matthews Band	1		85	1	1999
1642	Bobby Freeman	29.0	Bobby Freeman	spotify:artist:5oMWW19j0AXl7Sy4Xn9rmg	doo-wop	False	30.0	Do You Want To Dance	165.693	spotify:track:4wXPZBafMKbTtdOB7BVGcp	http://www.billboard.com/charts/hot-100/1958-08-02	1958-08-02	20	Do You Want To DanceBobby Freeman	1		20	1	1958
1647	Tatyana Ali	34.0	Tatyana Ali	spotify:artist:4ZYkqq2f8wA9vkV4iQIo4C	contemporary r&b	False	43.0	Daydreamin'	300.133	spotify:track:0ALJZXgutuN6F680E8lQPs	http://www.billboard.com/charts/hot-100/1998-08-08	1998-08-08	20	Daydreamin'Tatyana Ali	1		20	1	1998
1648	Sugarland	59.0	Sugarland	spotify:artist:0hYxQe3AK5jBPCr5MumLHD	contemporary country	False	44.0	Just Might (Make Me Believe)	247.8	spotify:track:4MSnF5Ajr8P0LqC4Zd66DH	http://www.billboard.com/charts/hot-100/2005-12-03	2005-12-03	91	Just Might (Make Me Believe)Sugarland	1		91	1	2005
1656	Robyn	62.0	Robyn	spotify:artist:6UE7nl9mha6s8z0wFQFIZ2	art pop	False	43.0	Do You Know (What It Takes)	221.293	spotify:track:0idCpkJ2pspfAILbanmERu	http://www.billboard.com/charts/hot-100/1997-05-31	1997-05-31	36	Do You Know (What It Takes)Robyn	1		36	1	1997
1657	Johnny Mathis	66.0	Johnny Mathis	spotify:artist:21LGsW7bziR4Ledx7WZ1Wf	adult standards	False	16.0	Someone	177.893	spotify:track:4wpPHC1vxN43olx4a4zE5E	http://www.billboard.com/charts/hot-100/1959-03-21	1959-03-21	98	SomeoneJohnny Mathis	1		98	1	1959
1667	Fall Out Boy	79.0	Fall Out Boy	spotify:artist:4UXqAaa6dQYAk18Lv7PEgX	emo	False	77.0	Dance, Dance	180.266	spotify:track:0a7BloCiNzLDD9qSQHh5m7	http://www.billboard.com/charts/hot-100/2005-11-05	2005-11-05	66	Dance, DanceFall Out Boy	1		66	1	2005
1680	Lee DeWyze	43.0	Lee DeWyze	spotify:artist:1KNNZV9twnpQBqyUoGvWA6	acoustic pop	False	17.0	Beautiful Day	237.52	spotify:track:2uLNwZvdN7lOvlqT9ebjkB	http://www.billboard.com/charts/hot-100/2010-06-12	2010-06-12	24	Beautiful DayLee DeWyze	1		24	1	2010
1681	Selena Gomez & The Scene	69.0	Selena Gomez & The Scene	spotify:artist:6dJeKm76NjfXBNTpHmOhfO	dance pop	False	44.0	Falling Down	184.68	spotify:track:6PAL3nzEgroNOMurJAjpFX	http://www.billboard.com/charts/hot-100/2009-09-12	2009-09-12	93	Falling DownSelena Gomez & The Scene	1		93	1	2009
1687	Evanescence	73.0	Evanescence	spotify:artist:5nGIFgo0shDenQYSE0Sn7c	alternative metal	False	75.0	My Immortal	262.533	spotify:track:4UzVcXufOhGUwF56HT7b8M	http://www.billboard.com/charts/hot-100/2004-01-10	2004-01-10	70	My ImmortalEvanescence	1		70	1	2004
1691	Kesha	77.0	Kesha	spotify:artist:6LqNN22kT3074XbTVUrhzX	dance pop	False	70.0	Praying	230.266	spotify:track:0jdny0dhgjUwoIp5GkqEaA	http://www.billboard.com/charts/hot-100/2017-07-29	2017-07-29	25	PrayingKesha	1		25	1	2017
1693	Joan Osborne	55.0	Joan Osborne	spotify:artist:0djV4iaxhNfYWpH60ia85o	lilith	False	68.0	One Of Us	320.466	spotify:track:1xNmF1Uep5OGutizZSbKvd	http://www.billboard.com/charts/hot-100/1995-12-09	1995-12-09	26	One Of UsJoan Osborne	1		26	1	1995
1694	Snoop Dogg	84.0	Snoop Dogg	spotify:artist:7hJcb9fa4alzcOq3EaNPoG	g funk	True	47.0	Still A G Thang	260.133	spotify:track:25FbujVRm2y8A5HSHERaRa	http://www.billboard.com/charts/hot-100/1998-09-05	1998-09-05	26	Still A G ThangSnoop Dogg	1		26	1	1998
1698	Shwayze	52.0	Shwayze	spotify:artist:6f0hUHWLOCxCSDQMtdVAS7	indie pop rap	True	51.0	Corona And Lime	236.0	spotify:track:4U5CjTT6uObhD2vwnD4zOF	http://www.billboard.com/charts/hot-100/2008-08-09	2008-08-09	26	Corona And LimeShwayze	1		26	1	2008
1699	Zach Sobiech	37.0	Zach Sobiech	spotify:artist:1gPo4GYra6HG4nBHD1D3c5		False	50.0	Clouds	179.626	spotify:track:1ad6CbExeZneBGswe5YuSD	http://www.billboard.com/charts/hot-100/2013-06-08	2013-06-08	26	CloudsZach Sobiech	1		26	1	2013
1700	Bon Jovi	79.0	Bon Jovi	spotify:artist:58lV9VcRSjABbAbfWS6skp	glam metal	False	73.0	Runaway	230.666	spotify:track:0X1sqQ652p1sceKM2nJlIJ	http://www.billboard.com/charts/hot-100/1984-02-25	1984-02-25	92	RunawayBon Jovi	1		92	1	1984
1717	Men At Work	66.0	Men At Work	spotify:artist:0f3EsoviYnRKTkmayI3cux	album rock	False	71.0	Who Can It Be Now?	201.293	spotify:track:5rfJ2Bq2PEL8yBjZLzouEu	http://www.billboard.com/charts/hot-100/1982-07-10	1982-07-10	83	Who Can It Be Now?Men At Work	1		83	1	1982
1723	Hannah Montana	65.0	Hannah Montana	spotify:artist:7nU4hB040gTmHm45YYMvqc	dance pop	False	59.0	Nobody's Perfect	200.826	spotify:track:7c223RltkvhN8wrxIqspM5	http://www.billboard.com/charts/hot-100/2007-06-23	2007-06-23	28	Nobody's PerfectHannah Montana	1		28	1	2007
1730	The Royal Guardsmen	42.0	The Royal Guardsmen	spotify:artist:2ltpcCK86foogli20z9raq	bubblegum pop	False	41.0	Snoopy Vs. The Red Baron	160.68	spotify:track:6qF3qHvzEmh7bkdBatxQuS	http://www.billboard.com/charts/hot-100/1966-12-17	1966-12-17	30	Snoopy Vs. The Red BaronThe Royal Guardsmen	1		30	1	1966
1734	The Jacksons	61.0	The Jacksons	spotify:artist:2yrbLiuBmc9j81lTX3XUuI	disco	False	49.0	Enjoy Yourself	204.413	spotify:track:4OdhWe5GZTkwAuNXLQZImM	http://www.billboard.com/charts/hot-100/1976-11-13	1976-11-13	82	Enjoy YourselfThe Jacksons	1		82	1	1976
1741	Linkin Park	85.0	Linkin Park	spotify:artist:6XyY86QOPPrYVGvF9ch6wz	alternative metal	False	79.0	One Step Closer	157.333	spotify:track:3K4HG9evC7dg3N0R9cYqk4	http://www.billboard.com/charts/hot-100/2001-02-10	2001-02-10	81	One Step CloserLinkin Park	1		81	1	2001
1749	Don Gibson	46.0	Don Gibson	spotify:artist:4xcYVPssil6vbG6tq3W43S	nashville sound	False	10.0	Look Who's Blue	142.2	spotify:track:71S4k4BBKsR5FtlQit8r0D	http://www.billboard.com/charts/hot-100/1958-09-27	1958-09-27	66	Look Who's BlueDon Gibson	1		66	1	1958
1756	Bad Bunny	100.0	Bad Bunny	spotify:artist:4q3ewBCX7sLwd24euuV69X	reggaeton	True	71.0	Solo de Mi	197.967	spotify:track:4uP3pUP18ennmz0tb3GphR	https://www.billboard.com/charts/hot-100/2019-01-12	2019-01-12	93	Solo de MiBad Bunny	1		93	1	2019
1760	Seal	58.0	Seals and Crofts	spotify:artist:6jdObwsrIjSRnBbMw6lPBj	adult standards	False	63.0	Crazy	356.52	spotify:track:6Vz7vzOpCwKeSQlfViibuY	http://www.billboard.com/charts/hot-100/1991-06-22	1991-06-22	83	CrazySeal	1		83	1	1991
1762	Enrique Iglesias	78.0	Enrique Iglesias	spotify:artist:7qG3b048QCHVRO5Pv1T5lw	latin pop	False	47.0	Rhythm Divine	209.466	spotify:track:067sYyLu6IdRP5bCubdSfl	http://www.billboard.com/charts/hot-100/1999-12-04	1999-12-04	90	Rhythm DivineEnrique Iglesias	1		90	1	1999
1766	Jason Derulo	80.0	Jason Derulo	spotify:artist:07YZf4WDAMNwqr4jfgOZ8y	dance pop	False	67.0	Whatcha Say	221.253	spotify:track:67T6l4q3zVjC5nZZPXByU8	http://www.billboard.com/charts/hot-100/2009-08-29	2009-08-29	54	Whatcha SayJason Derulo	1		54	1	2009
1778	Fetty Wap	72.0	Fetty Wap	spotify:artist:6PXS4YHDkKvl1wkIl4V8DL	dance pop	True	75.0	Trap Queen	222.093	spotify:track:2d8JP84HNLKhmd6IYOoupQ	http://www.billboard.com/charts/hot-100/2015-02-07	2015-02-07	86	Trap QueenFetty Wap	1		86	1	2015
1783	Da Brat	53.0	Da Brat	spotify:artist:2I1bnmb9VQEQGKHxvr0gSf	chicago rap	False	39.0	Give It 2 You	232.406	spotify:track:7ynkMgK15OkMn5sOKOIru2	http://www.billboard.com/charts/hot-100/1995-04-15	1995-04-15	77	Give It 2 YouDa Brat	1		77	1	1995
1786	Guns N' Roses	81.0	Guns N' Roses	spotify:artist:3qm84nBOXUEQ2vnTfUTTFC	glam metal	True	77.0	Sweet Child O' Mine	356.066	spotify:track:7snQQk1zcKl8gZ92AnueZW	http://www.billboard.com/charts/hot-100/1988-06-25	1988-06-25	76	Sweet Child O' MineGuns N' Roses	1		76	1	1988
1795	No Doubt	68.0	No Doubt	spotify:artist:0cQbJU1aAzvbEmTuljWLlF	alternative rock	False	71.0	Just A Girl	209.2	spotify:track:5lWRaa0fBxDE5yU91npPq7	http://www.billboard.com/charts/hot-100/1995-12-16	1995-12-16	84	Just A GirlNo Doubt	1		84	1	1995
1799	T-Pain	78.0	T-Pain	spotify:artist:3aQeKQSyrW4qWr35idm0cy	dance pop	True	40.0	Take Your Shirt Off	228.893	spotify:track:46vIOfB9SnaI21SD0nERoV	http://www.billboard.com/charts/hot-100/2009-11-07	2009-11-07	80	Take Your Shirt OffT-Pain	1		80	1	2009
1800	3OH!3	63.0	3OH!3	spotify:artist:0FWzNDaEu9jdgcYTbcOa4F	dance pop	False	46.0	Double Vision	190.706	spotify:track:3o2ESAMet1zR1aASlzrIxO	http://www.billboard.com/charts/hot-100/2010-07-03	2010-07-03	89	Double Vision3OH!3	1		89	1	2010
1803	Danielle Bradbery	57.0	Danielle Bradbery	spotify:artist:5iqStkZi6QmG8sgQZQrfGN	contemporary country	False	40.0	The Heart Of Dixie	209.453	spotify:track:5FgLLtrDU4Ex2ezB9anpH5	http://www.billboard.com/charts/hot-100/2013-08-03	2013-08-03	58	The Heart Of DixieDanielle Bradbery	1		58	1	2013
1804	Lea Michele	54.0	Lea Michele	spotify:artist:16rJDrSGCHMXjPUuKwQcvp	hollywood	False	38.0	Cannonball	215.426	spotify:track:0nSr7aFZlWoM4hULnAGTdx	http://www.billboard.com/charts/hot-100/2013-12-28	2013-12-28	75	CannonballLea Michele	1		75	1	2013
1805	Young Thug	86.0	Young Thug	spotify:artist:50co4Is1HCEo8bhOyUWKpn	atl hip hop	True	49.0	Stoner	239.999	spotify:track:1jROHCeEzDr6VnV8EnBnik	http://www.billboard.com/charts/hot-100/2014-03-01	2014-03-01	75	StonerYoung Thug	1		75	1	2014
1813	Imagine Dragons	89.0	Imagine Dragons	spotify:artist:53XhwfbYqKCa1cC15pYq2q	modern rock	False	66.0	It's Time	237.986	spotify:track:6BtmXhTJMM9sBTHeYYASGz	http://www.billboard.com/charts/hot-100/2012-06-23	2012-06-23	93	It's TimeImagine Dragons	1		93	1	2012
1825	Childish Gambino	81.0	Childish Gambino	spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL	atl hip hop	True	85.0	Redbone	326.933	spotify:track:0WtDGnWL2KrMCk0mI1Gpwz	http://www.billboard.com/charts/hot-100/2016-12-10	2016-12-10	75	RedboneChildish Gambino	1		75	1	2016
1829	Jordan Davis	74.0	Jordan Davis	spotify:artist:77kULmXAQ6vWer7IIHdGzI	contemporary country	False	68.0	Singles You Up	182.666	spotify:track:4LiMQ6G9n84rDUBs9wtwz6	https://www.billboard.com/charts/hot-100/2018-02-17	2018-02-17	94	Singles You UpJordan Davis	1		94	1	2018
1833	Jimmy Clanton	45.0	Jimmy Clanton	spotify:artist:2XZXvrqedRMiKv6UWjAT4B	adult standards	False	21.0	My Own True Love	157.026	spotify:track:5cVCRTukRrz4UfMpv3yJ4x	http://www.billboard.com/charts/hot-100/1959-08-01	1959-08-01	76	My Own True LoveJimmy Clanton	1		76	1	1959
1837	Bernie Lowe Orchestra	0.0	Bernie Lowe Orchestra	spotify:artist:3BfAt0cAz0CipSmDN91loQ		False	1.0	Sing Sing Sing	145.226	spotify:track:0T4b706qiJ87eBtHcgq9oH	http://www.billboard.com/charts/hot-100/1958-11-22	1958-11-22	76	Sing Sing SingBernie Lowe Orchestra	1		76	1	1958
1838	Tab Hunter	29.0	Tab Hunter	spotify:artist:0pVnnK639XgJiMuv10JLRe	deep adult standards	False	1.0	Jealous Heart	139.049	spotify:track:05R5LQzLRmPUC6igBaRm78	http://www.billboard.com/charts/hot-100/1958-10-18	1958-10-18	98	Jealous HeartTab Hunter	1		98	1	1958
1839	Johnny Preston	34.0	Johnny Preston	spotify:artist:1B8n8vtEeexQ5NKehHTkeo	deep adult standards	False	42.0	Running Bear	157.96	spotify:track:1mE8QtaSFxEQnr3SgxmIRf	http://www.billboard.com/charts/hot-100/1959-10-10	1959-10-10	83	Running BearJohnny Preston	1		83	1	1959
1842	Lolita	47.0	Lolita	spotify:artist:1Jl0XzEt7csnco2FUybCrK		False	14.0	Sailor (Your Home Is The Sea)	170.2	spotify:track:3l477StNmG8dGEwGzFshxh	http://www.billboard.com/charts/hot-100/1960-10-22	1960-10-22	76	Sailor (Your Home Is The Sea)Lolita	1		76	1	1960
1843	Duals	4.0	Duals	spotify:artist:4xO4wiBAenkGcYIucfRCpb		False	9.0	Stick Shift	149.706	spotify:track:3VYQy0o7oi0ea9XsJOYjeq	http://www.billboard.com/charts/hot-100/1961-09-09	1961-09-09	76	Stick ShiftDuals	1		76	1	1961
1844	B. Bumble & The Stingers	29.0	B. Bumble & The Stingers	spotify:artist:6Z3V0wUuOHqAa7R7qhoVW9	merseybeat	False	16.0	Boogie Woogie	131.826	spotify:track:6ymaGBJqiFmJYbFnat9cHc	http://www.billboard.com/charts/hot-100/1961-07-08	1961-07-08	89	Boogie WoogieB. Bumble & The Stingers	1		89	1	1961
1846	Joe Henderson	44.0	Joe Henderson	spotify:artist:3BG0nwVh3Gc7cuT4XdsLtt	avant-garde jazz	False	13.0	Snap Your Fingers	177.706	spotify:track:7xCOKRAH7WCC7stn7fI3aS	http://www.billboard.com/charts/hot-100/1962-05-19	1962-05-19	76	Snap Your FingersJoe Henderson	1		76	1	1962
1848	The Orlons	34.0	The Orlons	spotify:artist:7JSIM5U7TZym5M3Q1AFG80	bubblegum pop	False	43.0	The Wah Watusi	150.24	spotify:track:1txHbsMQPOPqjigbBXTULL	http://www.billboard.com/charts/hot-100/1962-06-09	1962-06-09	97	The Wah WatusiThe Orlons	1		97	1	1962
1854	Peter And Gordon	40.0	Peter And Gordon	spotify:artist:6lHC2EQMEMZiEmSfFloarn	beatlesque	False	24.0	Nobody I Know	150.453	spotify:track:7hW7DZ42AY4suLWXymcnXe	http://www.billboard.com/charts/hot-100/1964-06-27	1964-06-27	73	Nobody I KnowPeter And Gordon	1		73	1	1964
1860	Wayne Newton	51.0	Wayne Newton	spotify:artist:5NX29TmuYrENlpvz6IgYMJ	adult standards	False	37.0	Red Roses For A Blue Lady	143.066	spotify:track:5aKfKf7YIZOg0S8P1hNJjw	http://www.billboard.com/charts/hot-100/1965-02-27	1965-02-27	76	Red Roses For A Blue LadyWayne Newton	1		76	1	1965
1864	Lee Dorsey	47.0	Lee Dorsey	spotify:artist:0En4EEcDMJ5kaUCf1aZ9js	classic soul	False	39.0	Ya Ya	146.053	spotify:track:2pMwweGkjNLXZkSDZ63LYf	http://www.billboard.com/charts/hot-100/1961-09-09	1961-09-09	95	Ya YaLee Dorsey	1		95	1	1961
1870	Fontella Bass	52.0	Fontella Bass	spotify:artist:6k3YMXJ1MJLgUEAlSPC6hA	chicago soul	False	69.0	Rescue Me	171.026	spotify:track:1GY8zOFi8rC39xXnD0tKO8	http://www.billboard.com/charts/hot-100/1965-10-02	1965-10-02	76	Rescue MeFontella Bass	1		76	1	1965
1874	The Byrds	59.0	The Byrds	spotify:artist:1PCZpxHJz7WAMF8EEq8bfc	art rock	False	63.0	Mr. Tambourine Man	149.466	spotify:track:2HCaIYjkvWSZzaSKUoOh3d	http://www.billboard.com/charts/hot-100/1965-05-15	1965-05-15	87	Mr. Tambourine ManThe Byrds	1		87	1	1965
1883	Herb Alpert & The Tijuana Brass	55.0	Herb Alpert & The Tijuana Brass	spotify:artist:09L3cUdx0hq6qn5bKuJJ4I	adult standards	False	46.0	Tijuana Taxi	125.92	spotify:track:2vLgPIAJj1Z7fd69QoFxqK	http://www.billboard.com/charts/hot-100/1965-12-25	1965-12-25	86	Tijuana TaxiHerb Alpert & The Tijuana Brass	1		86	1	1965
1894	Percy Sledge	57.0	Percy Sledge	spotify:artist:3rRmDmzPcAFwcUDvG5gBqO	soul	False	34.0	Cover Me	170.52	spotify:track:6JJ2cZDIEp7ldcB4yDtgjP	http://www.billboard.com/charts/hot-100/1967-11-25	1967-11-25	76	Cover MePercy Sledge	1		76	1	1967
1897	The Marvelettes	51.0	The Marvelettes	spotify:artist:0MponVSpW81oLvJZ53vYZH	classic girl group	False	11.0	Twistin' Postman	148.133	spotify:track:3TIUNsWeie7t4ldd1fzzvs	http://www.billboard.com/charts/hot-100/1962-01-27	1962-01-27	97	Twistin' PostmanThe Marvelettes	1		97	1	1962
1910	The Intruders	44.0	The Intruders	spotify:artist:30q5mqJmdYPaKabPMytzvv	classic soul	False	39.0	Together	177.066	spotify:track:10v7nPfuQaMGJQgpU21L4x	http://www.billboard.com/charts/hot-100/1967-04-29	1967-04-29	100	TogetherThe Intruders	1		100	1	1967
1917	Sergio Mendes & Brasil '66	53.0	Sergio Mendes & Brasil '66	spotify:artist:6hCsqVHnBo1BVQWuIjRMkL	lounge	False	45.0	Mas Que Nada	161.306	spotify:track:6clrt5x5viq13LZwEnHcur	http://www.billboard.com/charts/hot-100/1966-09-24	1966-09-24	85	Mas Que NadaSergio Mendes & Brasil '66	1		85	1	1966
1923	Judy Collins	48.0	Judy Collins	spotify:artist:5yzE49FicYiSxN61oaxkNn	american folk revival	False	10.0	Hard Lovin' Loser	149.96	spotify:track:3u5NVpdpX1yj6QWkjeZiqc	http://www.billboard.com/charts/hot-100/1967-01-21	1967-01-21	99	Hard Lovin' LoserJudy Collins	1		99	1	1967
