	Performer	Artist_Popularity_x	Performer2	uri_x	Genre	Explicit	Artist_Popularity_y	Song	Duration s	uri_y	url	WeekID	Week Position	SongID	Instance	Previous Week Position	Peak Position	Weeks on Chart	Year
8498	Count Five	42.0	Count Five	spotify:artist:57WXdjUf5Vlq3klNZegeTP	bubblegum pop	False	55.0	Psychotic Reaction	185.523	spotify:track:5JcaA4A9ZoXthwEnxOxWvP	http://www.billboard.com/charts/hot-100/1966-09-10	1966-09-10	79	Psychotic ReactionCount Five	1		79	1	1966
8499	Al DeLory	18.0	Al DeLory	spotify:artist:3qFVpbWBPJhBNaEDVazsxz		False	5.0	Song From M*A*S*H	222.226	spotify:track:2gWKnxjLsVlaeGvkNJ7JSg	http://www.billboard.com/charts/hot-100/1970-06-13	1970-06-13	79	Song From M*A*S*HAl DeLory	1		79	1	1970
8500	Falco	61.0	Falco	spotify:artist:0hLd40hVpRDGENe4KGZLnW	austropop	False	66.0	Rock Me Amadeus	202.236	spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU	http://www.billboard.com/charts/hot-100/1986-02-08	1986-02-08	79	Rock Me AmadeusFalco	1		79	1	1986
8502	Geto Boys	56.0	Geto Boys	spotify:artist:3f5fB1YUbkUnW7cf7I0R48	conscious hip hop	True	37.0	Six Feet Deep	324.333	spotify:track:7fOa2YngldFhZpkPpQVwpb	http://www.billboard.com/charts/hot-100/1993-05-08	1993-05-08	79	Six Feet DeepGeto Boys	1		79	1	1993
8503	The Tony Rich Project	42.0	The Tony Rich Project	spotify:artist:7uwPrVdjss0FyCCTzpLx5A	contemporary r&b	False	58.0	Nobody Knows	306.933	spotify:track:2PsHIonOTmX6bSrzIJSjyS	http://www.billboard.com/charts/hot-100/1995-12-16	1995-12-16	79	Nobody KnowsThe Tony Rich Project	1		79	1	1995
8508	Stone Temple Pilots	68.0	Stone Temple Pilots	spotify:artist:2UazAtjfzqBF0Nho2awK4z	alternative metal	False	57.0	Sour Girl	256.253	spotify:track:6wNwHBUjsessjRioNVFbaO	http://www.billboard.com/charts/hot-100/2000-07-08	2000-07-08	79	Sour GirlStone Temple Pilots	1		79	1	2000
8509	Tammy Cochran	20.0	Tammy Cochran	spotify:artist:7EVaoxToIYScm77vpplHXf	country dawn	False	31.0	Angels In Waiting	217.666	spotify:track:74h3Wdt3mkmA9GX3qqkkbH	http://www.billboard.com/charts/hot-100/2001-10-06	2001-10-06	79	Angels In WaitingTammy Cochran	1		79	1	2001
8510	Yo Gotti	68.0	Yo Gotti	spotify:artist:6Ha4aES39QiVjR0L2lwuwq	dirty south rap	True	47.0	Errrbody	261.133	spotify:track:3ndumr5hw721OmT5opZ5Zl	http://www.billboard.com/charts/hot-100/2014-10-25	2014-10-25	98	ErrrbodyYo Gotti	1		98	1	2014
8512	Robin Thicke	65.0	Robin Thicke	spotify:artist:0ZrpamOxcZybMHGg1AYtHP	contemporary r&b	False	64.0	Lost Without U	254.146	spotify:track:4V2F0DZrAXOWq9hkwMMG3x	http://www.billboard.com/charts/hot-100/2006-12-23	2006-12-23	92	Lost Without URobin Thicke	1		92	1	2006
8516	Big Time Rush	66.0	Big Time Rush	spotify:artist:0GWCNkPi54upO9WLlwjAHd	boy band	False	47.0	Halfway There	212.813	spotify:track:6L4PjBaEjTxI0sOBGq8OQg	http://www.billboard.com/charts/hot-100/2010-05-15	2010-05-15	93	Halfway ThereBig Time Rush	1		93	1	2010
8523	DNCE	71.0	DNCE	spotify:artist:6T5tfhQCknKG4UnH90qGnz	dance pop	True	82.0	Cake By The Ocean	219.146	spotify:track:76hfruVvmfQbw0eYn1nmeC	http://www.billboard.com/charts/hot-100/2015-11-07	2015-11-07	79	Cake By The OceanDNCE	1		79	1	2015
8525	Lil Peep	85.0	Lil Peep	spotify:artist:2kCcBybjl3SAtIcwdWpUe3	emo rap	False	67.0	Awful Things	214.426	spotify:track:1YlqTH4bqZHOlqj16Fznuh	https://www.billboard.com/charts/hot-100/2017-12-09	2017-12-09	79	Awful ThingsLil Peep	1		79	1	2017
8526	Gogi Grant	25.0	Gogi Grant	spotify:artist:2Ak3GNswCQfRKDs3P8uWaQ	deep adult standards	False	37.0	The Wayward Wind	157.28	spotify:track:2VqsUEpRPvgiiBdsBuQrJz	http://www.billboard.com/charts/hot-100/1961-04-22	1961-04-22	82	The Wayward WindGogi Grant	1		82	1	1961
