Performer,Artist_Popularity_x,Performer2,uri_x,Genre,url,WeekID,Week Position,Song_x,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Explicit,Artist_Popularity_y,Song_y,Duration ms,uri_y,Year
Rachel Sweet,28.0,Rachel Sweet,spotify:artist:3E8iIu6yKztcuEHrKFBNMS,[],http://www.billboard.com/charts/hot-100/1983-02-05,1983-02-05,84,Voo Doo,Voo DooRachel Sweet,1,,84,1,False,7.0,Voo Doo,218360.0,spotify:track:2IplZsq9NcTLvp4j1vYAum,1983
Felony,43.0,Jayo Felony,spotify:artist:188HWxEQMjCaa7kf3ZGjwc,"['g funk', 'gangster rap', 'hyphy', 'san diego rap', 'west coast rap', 'west coast trap']",http://www.billboard.com/charts/hot-100/1983-02-12,1983-02-12,87,The Fanatic,The FanaticFelony,1,,87,1,False,28.0,The Fanatic,216711.0,spotify:track:1Iq2pmpj7yRb0sqhM6goA4,1983
Ric Ocasek,32.0,Ric Ocasek,spotify:artist:1iTrwmoisuv7HbdY5tTVUt,['new wave pop'],http://www.billboard.com/charts/hot-100/1983-02-12,1983-02-12,76,Something To Grab For,Something To Grab ForRic Ocasek,1,,76,1,False,22.0,Something To Grab For,223466.0,spotify:track:1p0rQUKbsx0JSz9aHJ8RcN,1983
After The Fire,39.0,After The Fire,spotify:artist:194g4SFwSSzyPtgkH7v3Cx,"['new wave', 'new wave pop']",http://www.billboard.com/charts/hot-100/1983-02-12,1983-02-12,75,Der Kommissar,Der KommissarAfter The Fire,1,,75,1,False,48.0,Der Kommissar,337186.0,spotify:track:0ROtxObpdDA25o5DriPSOk,1983
Thomas Dolby,45.0,Thomas Dolby,spotify:artist:2Uz58cSxlJgefDaSikxYQ7,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'steampunk', 'synthpop', 'zolo']",http://www.billboard.com/charts/hot-100/1983-02-19,1983-02-19,77,She Blinded Me With Science,She Blinded Me With ScienceThomas Dolby,1,,77,1,False,49.0,She Blinded Me With Science - 2009 Remastered Version,222386.0,spotify:track:6y9VZNRczyKeQihebHSMJ8,1983
Berlin,74.0,Berliner Philharmoniker,spotify:artist:6uRJnvQ3f8whVnmeoecv5Z,"['german orchestra', 'orchestra']",http://www.billboard.com/charts/hot-100/1983-03-05,1983-03-05,79,Sex (I'm A...),Sex (I'm A...)Berlin,1,,79,1,False,33.0,Sex (I'm A...),308600.0,spotify:track:3IPIZVGAHl2BqKy0JJdbdf,1983
John Anderson,55.0,John Anderson,spotify:artist:3U7k7hBsHF9dy4ELW53Wrv,"['country', 'country road', 'country rock']",http://www.billboard.com/charts/hot-100/1983-03-05,1983-03-05,75,Swingin',Swingin'John Anderson,1,,75,1,False,54.0,Swingin',178880.0,spotify:track:3OYbmTwwQ1dTnGyKmgc1Mt,1983
Heaven 17,45.0,Heaven 17,spotify:artist:5PYuBRQMHh7nWmdV076sH9,"['new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-03-12,1983-03-12,80,Let Me Go,Let Me GoHeaven 17,1,,80,1,False,47.0,Let Me Go,262506.0,spotify:track:2VpWQNy9Ywa6rIPX4l54A2,1983
Naked Eyes,49.0,Naked Eyes,spotify:artist:3C6chBmZ9wzisBhoh8G2nK,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-03-12,1983-03-12,85,Always Something There To Remind Me,Always Something There To Remind MeNaked Eyes,1,,85,1,False,33.0,(What) In the Name of Love,267066.0,spotify:track:4K5vvAu9tMdXfpv2TUp7l5,1983
Def Leppard,70.0,Def Leppard,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ,"['album rock', 'hard rock', 'nwobhm', 'rock']",http://www.billboard.com/charts/hot-100/1983-03-12,1983-03-12,87,Photograph,PhotographDef Leppard,1,,87,1,False,56.0,Rocket,396823.0,spotify:track:0RVeadY2MbHz4Pe4MreLNw,1983
Patrick Simmons,14.0,Patrick Simmons,spotify:artist:1kZxI5FlVdFxgoRaiJ8hf0,"['deep soft rock', 'yacht rock']",http://www.billboard.com/charts/hot-100/1983-03-19,1983-03-19,72,So Wrong,So WrongPatrick Simmons,1,,72,1,False,17.0,So Wrong,200413.0,spotify:track:0Hxqin6Aq1lnnjRRXML8T1,1983
Wall Of Voodoo,38.0,Wall Of Voodoo,spotify:artist:6zPcUezmkw9aGjoRlBxYxw,"['new romantic', 'new wave', 'post-punk', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-03-19,1983-03-19,90,Mexican Radio,Mexican RadioWall Of Voodoo,1,,90,1,False,48.0,Mexican Radio,248866.0,spotify:track:1BtOAYgTkPnv1KRcLHqyxO,1983
INXS,71.0,INXS,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,"['australian rock', 'classic rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']",http://www.billboard.com/charts/hot-100/1983-03-26,1983-03-26,90,The One Thing,The One ThingINXS,1,,90,1,False,43.0,Pretty Vegas,205413.0,spotify:track:37oEm1l0NL6Ud2ccgsdgND,1983
Tony Carey,35.0,Tony Carey,spotify:artist:4urvwbid7NFoVes5PTx9lV,['album rock'],http://www.billboard.com/charts/hot-100/1983-03-26,1983-03-26,89,I Won't Be Home Tonight,I Won't Be Home TonightTony Carey,1,,89,1,False,4.0,West Coast Summer Nights,210000.0,spotify:track:0Z0TdhMStXKhP7JmiYfKNw,1983
Modern English,51.0,Modern English,spotify:artist:0fYPQBOx0vsRMmjUba9HgF,"['new romantic', 'new wave', 'new wave pop', 'post-punk', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-04-02,1983-04-02,85,I Melt With You,I Melt With YouModern English,1,,85,1,False,62.0,I Melt with You,251573.0,spotify:track:6J2rMSRhgb4HuX6dWgM3nJ,1983
U2,79.0,U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",http://www.billboard.com/charts/hot-100/1983-04-02,1983-04-02,90,New Year's Day,New Year's DayU2,1,,90,1,False,56.0,Who's Gonna Ride Your Wild Horses,316426.0,spotify:track:4SzIZFruLhiAzhuMtAhIRt,1983
Kajagoogoo,47.0,Kajagoogoo,spotify:artist:0f3kLT4wvi2mFHlHJgV8Hl,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-04-23,1983-04-23,81,Too Shy,Too ShyKajagoogoo,1,,81,1,False,62.0,Too Shy,221520.0,spotify:track:6WEBIVqiEsevfgJefTyuQQ,1983
Chris de Burgh,63.0,Chris de Burgh,spotify:artist:2RpHsROrX075xfIwHn6B2U,"['mellow gold', 'new wave pop', 'soft rock']",http://www.billboard.com/charts/hot-100/1983-04-30,1983-04-30,78,Don't Pay The Ferryman,Don't Pay The FerrymanChris de Burgh,1,,78,1,False,49.0,High On Emotion,265533.0,spotify:track:5bdrdM3e6ydj4KLEeanBcV,1983
"""Weird Al"" Yankovic",59.0,"""Weird Al"" Yankovic",spotify:artist:1bDWGdIC2hardyt55nlQgG,"['comedy rock', 'comic', 'parody']",http://www.billboard.com/charts/hot-100/1983-04-30,1983-04-30,90,Ricky,"Ricky""Weird Al"" Yankovic",1,,90,1,False,43.0,Smells Like Nirvana,225133.0,spotify:track:3rREGSHjY1RmsTj81wL5X4,1983
The Call,63.0,The Calling,spotify:artist:5aMmmNxw4vgpc5XC6hK0zp,"['neo mellow', 'pop rock']",http://www.billboard.com/charts/hot-100/1983-05-07,1983-05-07,87,The Walls Came Down,The Walls Came DownThe Call,1,,87,1,False,41.0,Let The Day Begin,231666.0,spotify:track:7mBTxMVwCB9fs4giIDt6kz,1983
New Edition,58.0,New Edition,spotify:artist:1mFX1QlezK1lNPKQJkhwWb,"['boy band', 'contemporary r&b', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",http://www.billboard.com/charts/hot-100/1983-05-07,1983-05-07,88,Candy Girl,Candy GirlNew Edition,1,,88,1,False,41.0,Is This The End,251400.0,spotify:track:7oQu8H2QfZCUaj5t1aOMRG,1983
Madness,62.0,Madness,spotify:artist:4AYkFtEBnNnGuoo8HaHErd,"['ska', 'ska revival']",http://www.billboard.com/charts/hot-100/1983-05-07,1983-05-07,76,Our House,Our HouseMadness,1,,76,1,False,17.0,The Sun And The Rain,198506.0,spotify:track:2ziChABXLmMgIhGoqoPCGp,1983
Michael Bolton,65.0,Michael Bolton,spotify:artist:6YHEMoNPbcheiWS2haGzkn,['soft rock'],http://www.billboard.com/charts/hot-100/1983-05-14,1983-05-14,95,Fools Game,Fools GameMichael Bolton,1,,95,1,False,51.0,Soul Provider,267293.0,spotify:track:05M64X8usrSHqWTLHm48ff,1983
Eurythmics,69.0,Eurythmics,spotify:artist:0NKDgy9j66h3DLnN8qu1bB,"['art rock', 'dance rock', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-05-14,1983-05-14,90,Sweet Dreams (Are Made Of This),Sweet Dreams (Are Made Of This)Eurythmics,1,,90,1,False,59.0,Thorn in My Side - Remastered,253400.0,spotify:track:3v9ELl9T121dhadZyIiQVn,1983
Sheriff,37.0,Sheriff,spotify:artist:5jllns7VtBfhF3AyjvZP8d,['classic canadian rock'],http://www.billboard.com/charts/hot-100/1983-05-14,1983-05-14,86,When I'm With You,When I'm With YouSheriff,1,,86,1,False,54.0,When I'm With You,238040.0,spotify:track:3RJof5CojqlbgZ5adHw50O,1983
Martin Briley,21.0,Martin Briley,spotify:artist:0kQXfNK3qQhHzHrR078qvN,[],http://www.billboard.com/charts/hot-100/1983-05-21,1983-05-21,86,The Salt In My Tears,The Salt In My TearsMartin Briley,1,,86,1,False,28.0,The Salt In My Tears,208173.0,spotify:track:7mkH1uCjRViPXrhdOr7MuM,1983
Joan Armatrading,51.0,Joan Armatrading,spotify:artist:1bdAJUX6JPsnYHbTl5jbk6,"['classic uk pop', 'folk', 'folk rock', 'lilith', 'mellow gold', 'new wave pop', 'roots rock', 'singer-songwriter']",http://www.billboard.com/charts/hot-100/1983-05-28,1983-05-28,95,Drop The Pilot,Drop The PilotJoan Armatrading,1,,95,1,False,53.0,Drop The Pilot,221986.0,spotify:track:72YATNrv9D0QIVgOURyTFg,1983
Lee Greenwood,44.0,Lee Greenwood,spotify:artist:3g229vTyhsdwm9SO2p1FPL,"['country', 'country rock']",http://www.billboard.com/charts/hot-100/1983-05-28,1983-05-28,77,I.o.u.,I.o.u.Lee Greenwood,1,,77,1,False,39.0,I.O.U.,189000.0,spotify:track:3dXSVFWK1s0PgtMrAifdDd,1983
Dexys Midnight Runners,62.0,Dexys Midnight Runners,spotify:artist:4QTVePrFu1xuGM9K0kNXkk,"['new romantic', 'new wave', 'new wave pop']",http://www.billboard.com/charts/hot-100/1983-05-28,1983-05-28,90,The Celtic Soul Brothers,The Celtic Soul BrothersDexys Midnight Runners,1,,90,1,False,43.0,"The Celtic Soul Brothers (More, Please, Thank You)",193066.0,spotify:track:6K9wIZpz2D8xNt7jPURm54,1983
Nona Hendryx,28.0,Nona Hendryx,spotify:artist:5pTDagkiVMJC5DJtSAdbXg,[],http://www.billboard.com/charts/hot-100/1983-06-04,1983-06-04,95,Keep It Confidential,Keep It ConfidentialNona Hendryx,1,,95,1,False,22.0,Why Should I Cry?,346773.0,spotify:track:7HhPOs2zt5fq2h6HJtwSAL,1983
Michael Sembello,62.0,Michael Sembello,spotify:artist:771qBvjnXOH9Azr6lKy6FB,['hi-nrg'],http://www.billboard.com/charts/hot-100/1983-06-04,1983-06-04,89,Maniac,ManiacMichael Sembello,1,,89,1,False,30.0,Automatic Man,251453.0,spotify:track:1ybACzVg8SO5GStv40b60o,1983
Red Rockers,19.0,Red Rockers,spotify:artist:7DYKtStEy5mAmAZvEobbgo,['jangle pop'],http://www.billboard.com/charts/hot-100/1983-06-04,1983-06-04,92,China,ChinaRed Rockers,1,,92,1,False,33.0,China,241573.0,spotify:track:2ws33FRyUcuvDnNgz5VfwZ,1983
